text,main_category,clean_text,image_name
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",Watches,digital watch men boy digital watch men boy price present black dial round watch fashionable watch add style statement brand known usage quality material making appealing watch need youth well able present wide range watch customer variety design style youthful approach well executed brand get one see brilliantly lead brand style finish everything else matter present black dial round watch fashionable watch add style statement brand known usage quality material making appealing watch need youth well able present wide range watch customer variety design style youthful approach well executed brand get one see brilliantly lead brand style finish everything else matter,920154acbe49d3202ed7d2ed2df1ea13.jpg
"Cartier W6701005 Analog Watch  - For Boys, Men Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,cartier watch boy men cartier watch boy men cartier watch boy men india great discount product,08452abdadb3db1e686b94a9c52fc7b6.jpg
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,lois watch boy men lois watch boy men lois watch boy men india great discount product,1e8741b5ae27a513546c94b3f3312aee.jpg
"Titan 1639SL03 Analog Watch  - For Boys, Men Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,titan watch boy men titan watch boy men titan watch boy men india great discount product,189fa66a5fa6f08d2802a62ecf0be298.jpg
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,art jewelry digital watch men woman boy girl art jewelry digital watch men woman boy girl art jewelry digital watch men woman boy girl india led watch sport led watch fresh arrival latest fancy men woman boy wrist watch great discount product,bbb8cdc5406ff60ff06ff64630f2ca47.jpg
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys Escort E-1700-906_Blk Analog Watch  - For Men, Boys
                         Price: Rs. 1,829
				
			If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.
If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.",Watches,escort watch men boy escort watch men boy price flaunt mantra hit street style wearing black watch men house escort casing add appeal timepiece worn rainy thanks water resistance flaunt mantra hit street style wearing black watch men house escort casing add appeal timepiece worn rainy thanks water resistance,1120bc768623572513df956172ffefeb.jpg
"Jack klein BlackLed Digital Watch  - For Boys Jack klein BlackLed Digital Watch  - For Boys - Buy Jack klein BlackLed Digital Watch  - For Boys  BlackLed Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,jack digital watch boy jack digital watch boy jack digital watch boy india great discount product,5479bb7028827d60000720a2c135976a.jpg
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women - Buy North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women  IW-005-FK Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,north moon silicone ion digital watch boy girl woman north moon silicone ion digital watch boy girl woman north moon silicone ion digital watch boy girl woman india great discount product,733aa1e801a139fa8dc7be9f0eff5ee0.jpg
"Franck Bella FB74C Analog Watch  - For Boys, Men Franck Bella FB74C Analog Watch  - For Boys, Men - Buy Franck Bella FB74C Analog Watch  - For Boys, Men  FB74C Online at Rs.780 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,bella watch boy men bella watch boy men bella watch boy men india great discount product,62c35de4df27437d3597963fac55a8b6.jpg
"Ridas Apl_led_black Apple Shape Digital Watch  - For Boys Ridas Apl_led_black Apple Shape Digital Watch  - For Boys - Buy Ridas Apl_led_black Apple Shape Digital Watch  - For Boys  Apl_led_black Online at Rs.249 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,apple shape digital watch boy apple shape digital watch boy apple shape digital watch boy india great discount product,33d97d63c037078cd3f08033966d6a88.jpg
"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys - Buy Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys  AD1057-Dark-Orange Online at Rs.1199 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,dark orange sport digital watch men boy dark orange sport digital watch men boy dark orange sport digital watch men boy dark orange india digital chronograph alarm watch light function date month display great discount product,d7ca2b06b4f4d3b98c61c377b18a2d6b.jpg
"Now SP-ETHNIC Analog Watch  - For Boys Now SP-ETHNIC Analog Watch  - For Boys - Buy Now SP-ETHNIC Analog Watch  - For Boys  SP-ETHNIC Online at Rs.600 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,ethnic watch boy ethnic watch boy ethnic watch boy ethnic india great discount product,f74476ba64365d97a5be7d375cbf4c7a.jpg
"Franck Bella FB127A Analog Watch  - For Boys, Men Franck Bella FB127A Analog Watch  - For Boys, Men - Buy Franck Bella FB127A Analog Watch  - For Boys, Men  FB127A Online at Rs.999 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,bella watch boy men bella watch boy men bella watch boy men india great discount product,fda50982a672ef8835de5c1cc86f8bfc.jpg
"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys Skmei DG0939-Red Sports Digital Watch  - For Men, Boys - Buy Skmei DG0939-Red Sports Digital Watch  - For Men, Boys  DG0939-Red Online at Rs.999 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,red sport digital watch men boy red sport digital watch men boy red sport digital watch men boy red india digital chronograph alarm watch light function date month display great discount product,4788f5466992da09024b8ffcc8a5cba4.jpg
"fastrack 38015PL01 Analog Watch  - For Men, Boys fastrack 38015PL01 Analog Watch  - For Men, Boys - Buy fastrack 38015PL01 Analog Watch  - For Men, Boys  38015PL01 Online at Rs.2495 in India Only at Flipkart.com. Stainless steel back cover. Hybrid case construction for a sportier and more rugged look with increased shock resistance. High precision quartz analogue movement. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,watch men boy watch men boy watch men boy india stainless steel back cover hybrid case construction rugged look shock resistance high precision quartz analogue movement great discount product,653826cd53f1d9e2c086c0ac7846ef70.jpg
"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls - Buy Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls  WQ18 Online at Rs.7495 in India Only at Flipkart.com. Qibla Compass, Light, Azan Time Calculation - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,compass digital watch men boy girl compass digital watch men boy girl compass digital watch men boy girl india compass light time calculation great discount product,3c74db45cbfc14a78b8466dca494b3bb.jpg
"Disney 98189 Analog Watch  - For Boys, Girls Disney 98189 Analog Watch  - For Boys, Girls - Buy Disney 98189 Analog Watch  - For Boys, Girls  98189 Online at Rs.900 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,watch boy girl watch boy girl watch boy girl india great discount product,4aa047f14885c74f155ce5f973e14dff.jpg
"Disney DW100405 Digital Watch  - For Boys Disney DW100405 Digital Watch  - For Boys - Buy Disney DW100405 Digital Watch  - For Boys  DW100405 Online at Rs.1345 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,digital watch boy digital watch boy digital watch boy india great discount product,7c4fec2331da8d40f2cb146eb198cb57.jpg
"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls
                         Price: Rs. 595
				
			Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)
Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)",Watches,sport series digital watch boy girl sport series digital watch boy girl price brand sport series watch kid year manufacturer warranty digital display automatic movement metal case solid body dial shape round dial dimension strap material silicone strap width water resistant night display cold daily alarm hour minute second date week display hour format attractive brand tuff plastic box note case non receipt warranty card please intimate within hour disclaimer color may slightly vary due photographic lighting source monitor setting image enlarged better brand sport series watch kid year manufacturer warranty digital display automatic movement metal case solid body dial shape round dial dimension strap material silicone strap width water resistant night display cold daily alarm hour minute second date week display hour format attractive brand tuff plastic box note case non receipt warranty card please intimate within hour disclaimer color may slightly vary due photographic lighting source monitor setting image enlarged better,b52073e7ed9c00c4108cae4eb0c49c1a.jpg
"Elantra S 10 Analog Watch  - For Boys, Men Elantra S 10 Analog Watch  - For Boys, Men - Buy Elantra S 10 Analog Watch  - For Boys, Men  S 10 Online at Rs.950 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,watch boy men watch boy men watch boy men india great discount product,ee8d9ff65e0fe4278afce7c933d30941.jpg
"Marvel DW100243 Digital Watch  - For Boys, Girls Marvel DW100243 Digital Watch  - For Boys, Girls - Buy Marvel DW100243 Digital Watch  - For Boys, Girls  DW100243 Online at Rs.299 in India Only at Flipkart.com. Buckle Clasp, Multi-color Strap, Contemporary Dial - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,marvel digital watch boy girl marvel digital watch boy girl marvel digital watch boy girl india buckle clasp color strap contemporary dial great discount product,788dc3a3da91c0f46a7c465e07f91dd4.jpg
"Lenco Bdblue Tango Analog Watch  - For Men, Boys Lenco Bdblue Tango Analog Watch  - For Men, Boys - Buy Lenco Bdblue Tango Analog Watch  - For Men, Boys  Bdblue Online at Rs.599 in India Only at Flipkart.com. Sports Watch, Casual Watch, Big Size Dial, Colourful Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,tango watch men boy tango watch men boy tango watch men boy india sport watch casual watch big size dial strap great discount product,29b1ca231e10d5269516b80bf9d0dffc.jpg
"D'Signer 681GM_WHT Analog Watch  - For Men, Boys D'Signer 681GM_WHT Analog Watch  - For Men, Boys - Buy D'Signer 681GM_WHT Analog Watch  - For Men, Boys  681GM_WHT Online at Rs.6645 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,signer watch men boy signer watch men boy signer watch men boy india great discount product,8b268c1e68f198ae2e934717d49f48e9.jpg
"SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Key Features of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Color: Multicolor No of Contents: 8 Diwan Sheet Length225 cm Cushion Cover Length:40 cm,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Price: Rs. 979 Add oodles of style to your home with an exciting range of designer furniture, furnishings, decor items and kitchenware. We promise to deliver best quality products at best prices.,Specifications of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set General Brand SANTOSH ROYAL FASHION Material Cotton Pattern Embroidered Style Code dsnsan-34 Color Multicolor Dimensions Bolster Cover Length 23 inch / 40 cm Cushion Cover Width 15 inch / 40 cm Diwan Sheet Length 88 inch / 225 cm Cushion Cover Length 15 inch / 40 cm Diwan Sheet Width 59 inch / 150 cm In the Box Number of Contents in Sales Package Pack of 8 Sales Package 1 Diwan Sheet,5 Cushion Covers, 2 Bolster Covers Additional Features Fabric Care Machine Washable, Do Not Soak",Home Furnishing,royal fashion cotton set key feature royal fashion cotton set color multicolor content sheet cushion cover length royal fashion cotton set price add oodles style home exciting range designer furniture furnishing item kitchenware promise deliver best quality product best price specification royal fashion cotton set general brand royal fashion material cotton pattern style code color multicolor dimension bolster cover length inch cushion cover width inch sheet length inch cushion cover length inch sheet width inch box number content sale package pack sale package sheet cushion cover bolster cover additional feature fabric care machine washable soak,b85f8843bb1c297dd5712f0bd287006d.jpg
"House This Queen Cotton Duvet Cover Key Features of House This Queen Cotton Duvet Cover Material:100% Cotton Outer.Inner Polyfill Thrade :210 Dimension: Duvet Cover 229X274 Cms 1 Double Duvet Cover,Specifications of House This Queen Cotton Duvet Cover (Grey) General Brand House This Closure Button Design Code P21821 Material Cotton Pattern Printed Thread Count 210 Style Code Dco-Smart Stripe-Black Grey Size Queen Color Grey Dimensions Length 107 inch / 274 cm Width 90 inch / 229 cm In the Box Number of Contents in Sales Package Pack of 1 Fabric Care Machine Washable, Do Not Soak Additional Features Reversible No",Home Furnishing,house queen cotton duvet cover key feature house queen cotton duvet cover material cotton outer inner dimension duvet cover double duvet cover specification house queen cotton duvet cover grey general brand house closure button design code material cotton pattern printed thread count style code smart stripe black grey size queen color grey dimension length inch width inch box number content sale package pack fabric care machine washable soak additional feature reversible,a4b09aa7927c59fbb39960b3d7919909.jpg
Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527 Buy Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527 at Rs. 1799 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,riva carpet cotton bath mat classic loop shag riva carpet cotton bath mat classic loop shag product,81e739c7f3be737152f2e6f520e3494b.jpg
